objectid,filename,title,transliteration,synonym,language,format,description,subject,date,shelfmark,source,link,creative commons,rights,rightsstatement,citation
ccg0055,levanim_file.jpg,levanīm,לבנים,"akçe, osmānī, asper",Hebrew,image/jpeg,"Hebrew term in the late medieval period denoting a form of dirham in circulation under the Mamluk Sultanate kesafīm levanīm or ""white silver pieces"" rather than dirham aswad or ""black dirham"" coins (Goitein, MS I, 387-388). For areas under Ottoman rule the term later came to denote the coin akçe which is based on the Turkish root word ""ak"" meaning ""white"" (Pamuk, 34). The akçe which was a silver coin minted in the Ottoman Empire first in the reign of Orhan Bey in 1326 CE that was no longer widespread in circulation by the mid-seventeenth century yet remained commonly as a unit of account (Pamuk, 147; Ben Naeh, 29).",coin; Ottoman; Mamluk; Medieval and Early Modern,1326,ENA NS 5.29 line 4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Ben-Naeh, Yaron. Jews in the Realm of the Sultans: Ottoman Jewish Society in the Seventeenth Century. Heidelberg: Mohr Siebeck, 2008.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0056,lira_file.jpg,lira,ليرة לירא,Egyptian gold pound,,image/jpeg,"Gold coin minted first under Mehmed Ali Pasha's administration in 1836 following the currency reforms of 1834 that went on to influence currency standards/production throughout the Ottoman Empire in the 1840s (Pamuk, 14). This shift was crucial because it implemented a new standardized system by which 1 lira : 40 kurush  and 40 copper para to 1 kurush (Tunçer and Pamuk, 2).",coin; Modern,1836,ENA 2634.2r line 27,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. ""From Bimetallism to the ‘Limping Gold Standard’: The Ottoman Monetary System in the Nineteenth Century."" in East Meets West-Banking, Commerce and Investment in the Ottoman Empire. eds. Monica Pohle Fraser. Philip L. Cottrell. Routledge, 2008. 31-44.

►Tunçer, Ali Coşkun. Şevket Pamuk. ""Ottoman Empire: from 1830-1914."" in South-eastern European Monetary and Ecnoomic Statistics from the Nineteenth Century to World War II. ed., Matthias Morys. Athens: Bank of Greece, 2014. 1-27."
ccg0057,mahbub_file.jpg,maḥbūb,محبوب מחבוב מחבובים מחבוביס,zer-i maḥbūb,"Judaeo-Arabic, Judeo-Spanish",image/jpeg,"Gold coin first minted in the Ottoman Empire beginning in 1703 that, as the image for this entry demonstrates, could be pluralized according to Judaeo-Spanish or Hebrew conventions. Pamuk notes that the maḥbūb was part of a wider array of Ottoman coinage reforms at the turn of the eighteenth century: ""In the place of the sultani, a number of new gold coins called tugrali, cedid Istanbul, zincirli, findik and zer-i mahbub were initiated between 1697 and 1728. All but the last of these started close to the standards of the ducat. Following the practice dating back to the fifteenth century, the government did not attach a fixed face-value to these gold coins. Their exchange rates were determined by the markets. In payments to the state, gold coins were accepted at the official rates of exchange"" (Pamuk, 167). ",coin; Ottoman; Mamluk; Early Modern; Judaeo-Spanish influence ,1703,ENA NS 29.9 lines 18-19,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0058,mahmudiye_file.jpg,maḥmudīye,محمودية מחמודייה,,Judaeo-Arabic,image/jpeg,"Gold coin minted first under Ottoman Sultan Maḥmud II (1808–39) alongside a wide array of other imperial gold coins such as the ""zer-i mahbub, rumi, adli, hayriye"" (Pamuk, 195)",coin; Ottoman; Early Modern,1808,ENA NS 63.5 line 13 (margin),Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0059,malikidinar_file.jpg,Malikī dīnār,דינאר מלכיה,,Judaeo-Arabic,image/jpeg,"A variant of the gold dīnār minted first in 479AH/1086CE under the Sulayhid dynasty in Yemen by Sultan al-Mukarram Aḥmad (reigned 1067 or 1081 to 1086CE). Bates notes that ""al-Mukarram Aḥmad b. ʿAlī al-Ṣulaiḥī... initiated the coinage... called 'maliki' dinars because al-Mukarram was the only ruler in Yemen to bear the title al-malik, i.e., king"" with the approval of the Fatimid state in Cairo (Bates, 160). Lowick explains that this form of dīnār was minted in Yemen for at least seventy years yet Bates estimates a shorter period of production into the 1130s CE (Bates, 157; Lowick 262). ",coin; regnal variant; Sulayhid; Yemen,1086,T-S J1.53r line 31,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Bates, Michael L. ""Notes on Some Ismāʿili Coins from Yemen."" Museum Notes (American Numismatic Society) 18 (1972): 149-162.

►Lowick, N. M. ""Some Unpublidhed Dinars of the Ṣulayḥids and Zuray'ids."" The Numismatic Chronicle and Journal of the Royal Numismatic Society 4 (1964): 261-270."
ccg0060,mann_file.jpg,mann,مَنّ מן,,Judaeo-Arabic,image/jpeg,"Unit of weight in the medieval period that Goldberg frames proportionally, ""wuqiyya can be read as ounces, raṭls as pounds, and manns as two pounds (or one kilogram). A qinṭār is a hundred raṭls, or a hundredweight (50 kilograms)"" (Goldberg, xix) Goitein notes that ""a weight much used in international trade was the mann (connected with the biblical mene [Daniel 5:25]), consisting of 2 pounds slightly lighter than the pound of Fustat. Nominally this was the pound of Baghdad, comprising only 130 grams. Where Geniza texts permit us to check the discrepancy between 2 Egyptian pounds and the mann, we find the difference somewhat smaller than warranted by the nominal values"" (Goitein, MS I, 360). In the early modern period, there is evidence that the mann also was used as a proportional value of the bahār. For example, Brouwer notes that in early modern Mocha ""one bahār comprised 15 farāsil, one farāsila 10 amnān [plural of mann]"" (Brouwer, 237).",unit of weight; Medieval and Early Modern,,T-S AS 148.1r line 9,Cambridge University Library,,yes,,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012."
ccg0061,matar_file.jpg,maṭar,مطر מטר,,Judaeo-Arabic,image/jpeg,A unit of weight for liquids equaling about 16-17 kilograms (Rapoport and Shahar). Goitein uncovered an instance of this unit's usage for a shipment of salted fish (p. Heid. Hebr. 911) and the example for this entry was written in connection with a massive quanitity of 400 matars of wine in a letter from the twelfth century.,unit of weight; Medieval and Early Modern,,T-S 13J21.17r line 35,Cambridge University Library,,yes,,,"►Rapoport, Yossef. Ido Shahar. Rural Society in Medieval Islam: The Villages of Fayyum. Database. https://projects.history.qmul.ac.uk/ruralsocietyislam/database/."
ccg0062,mayedes_file.jpg,mayedes,مدن مؤيدي מאיידיש מיידיש מאיידיס מיידיס מיידים,"maidis, may'', mayedim, medin, muayyedi, ḥeẓī, niṣf fiḍḍa, para",Judaeo-Arabic,image/jpeg,"Silver coin first minted under Mamluk Sultanate in 1415 CE and referred to as ""muayyedi"" (after Sultan al-Muʾayyad Shaykh r. 1412-1421). It came to be known in Ottoman Egypt most commonly as ""medin"" or ""niṣf fiḍḍa"" in Arabic with variants across Hebrew (ḥeẓi, mayedim), Ottoman Turkish (para), and Judaeo-Spanish (mayedes). The medin was first minted following a succession crisis when Sultan al-Muʾayyad Shaykh defeated a rival emir Nawrūz for the throne and returned to Cairo from Syria flush with spoiled silver that was melted down into the earliest iterations of the new coin (Bacharach, 275). A century later, Pamuk observes that ""the Ottoman administration began to mint the medin, with some modifications, immediately after the conquest [of Egypt]. Among these modifications was the changing of the name of the mint from al-Qahirah to Misr, meaning the province of Egypt. Beginning with the Ottoman law code (kanunname) of Egypt dated 1524, Ottoman sources refer to medin as pare meaning 'piece' in Turkish. The medin, nisf or pare remained the basic coin for daily transactions as well as the leading money of account in Egypt until the end of the eighteenth century. It was regularly minted in Cairo until the coinage reform of Muhammed Ali in 1834"" (Pamuk, 95-96). ",coin; Mamluk; Ottoman; Medieval and Early Modern; Judaeo-Spanish influence ,1415,ENA NS 50.7r line 7,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Bacharach, Jere L. “Circassian Monetary Policy: Silver.” The Numismatic Chronicle (1966-) 11 (1971): 267–81.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000. "
ccg0063,mayedesabb_file.jpg,mayedes abbreviations,מ''כ = מאיידיש כסף,"maidis, may'', mayedim, medin, muayyedi, ḥeẓī, niṣf fiḍḍa, para",Judaeo-Arabic,image/jpeg,"Silver coin first minted under Mamluk Sultanate in 1415 CE and referred to as muayyedi (after Sultan al-Muʾayyad Shaykh r. 1412-1421) that was sometimes abbreviated as מ''כ = מאיידיש כסף or מאי׳. Accordingly, the example for this entry states ""three thousand m[edin] c[ash]."" The coin came to be known in Ottoman Egypt most commonly as medin or niṣf fiḍḍa in Arabic with variants across Hebrew (ḥeẓi, mayedim), Ottoman Turkish (para), and Judeo-Spanish (mayedes). The medin was first minted following a succession crisis when Sultan al-Muʾayyad Shaykh defeated a rival emir Nawrūz for the throne and returned to Cairo from Syria flush with spoiled silver that was melted down into the earliest iterations of the new coin (Bacharach, 275). A century later, Pamuk observes that ""the Ottoman administration began to mint the medin, with some modifications, immediately after the conquest [of Egypt]. Among these modifications was the changing of the name of the mint from al-Qahirah to Misr, meaning the province of Egypt. Beginning with the Ottoman law code (kanunname) of Egypt dated 1524, Ottoman sources refer to medin as pare meaning 'piece' in Turkish. The medin, nisf or pare remained the basic coin for daily transactions as well as the leading money of account in Egypt until the end of the eighteenth century. It was regularly minted in Cairo until the coinage reform of Muhammed Ali in 1834"" (Pamuk, 95-96). ",coin; Mamluk; Ottoman; Medieval and Early Modern,1415,ENA NS 30.5r line 11,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Bacharach, Jere L. “Circassian Monetary Policy: Silver.” The Numismatic Chronicle (1966-) 11 (1971): 267–81.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000. "
ccg0064,metelik_file.jpeg,metelik,متاليك מתאליך,,Ottoman Turkish,image/jpeg,"Term for referring to 10 para coins (Danon, x).",coin: Ottoman,,Currently Unattested in the Cairo Geniza,,,,,,"►Danon, Dina. The Jews of Ottoman Izmir: A Modern History. Stanford: Stanford University Press, 2020."
ccg0065,miliaresion_file.jpeg,miliaresion,,,Latin,image/jpeg,"Silver coinage minted under the Byzantine empire, mentioned by Goitein in discussion of possible usage of Byzantine coinage in Geniza documents (MS I, 370), Grieson notes that ""miliaresia of the eleventh century are much rarer than those of the tenth, since Byzantium was affected by the general shortage of silver which obtained over most of the Islamic and Christian worlds at this period. The causes of this silver famine are unknown – one of them may have been the exhaustion of the great Zarafshan mines in central Asia – but it resulted in the widespread abandonment of silver coinage in the Muslim states of the Near East and in a general tendency to debasement in the silver penny in western Europe. The weight and fineness of the milliaresion were maintained fairly well down to the middle decades of the century.... The issue of fractional miliaresia began in the middle years of the eleventh century, the two-thirds milaresion under Constantine IX and the one-third miliaresion under Constantine X. Their types, and those of the contemporary miliaresia, are usually different from that of the traditional miliaresion, which had been used with such little variation during the preceeding centuries"" (Grierson, 201-203). After the 1092CE Byzantine monetary reforms the miliaresion fell out of use as physical money but remained as a unit of account ""right down to the end of the empire"" in 1453CE (Ibid, 17).",coin; Byzantine; Medieval,,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0066,miri_file.jpg,mīrī,ميري מירי,,Ottoman Turkish,image/jpeg,"State property belonging to the Ottoman Empire, miri = ""state ownership"" whereas the term mülk indicates ""freehold"" (White, xvi).",Ottoman,,ENA NS 45.14r line 5,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►White, Sam. The Climate of Rebellion in the early modern Ottoman Empire. Cambridge: Cambridge University Press, 2011."
ccg0067,mithqalcoin_file.jpg,mithqāl (coin),مثقال מיטיקאליש,dīnār,,image/jpeg,"Alternative term that was in the medieval period ""synonymous with dinar... [and] preferred in particular in Spain and Morocco"" (Goitein, MS I, 360). The mithqāl, as a coinage label, is also attested in the Ottoman Empire in the sixteenth century likely to denote a Venetian ducat, Ottoman sulṭānī, or another analogue  such as the engurissiyye. The mithqāl was also a Safavid coin in the Early Modern period that was used as the basis for valuation of Ottoman sulṭānī coinage at the time of the latter's introduction (1477CE in Istanbul and 1520 in Cairo). Originally the sulṭānī was valued at the hypothetical ratio of 129:100 mithqāls of Tebriz (Pamuk, 63). ",coin; Medieval and Early Modern; Ottoman; Safavid,,ENA NS 30.10r line 2,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0068,mithqalweight_file.jpg,mithqāl (weight),مثقال מתקאל,,,image/jpeg,"Unit of weight attested widely in the medieval Geniza with reference to gold that Goitein observes ""originally denotes the dinar as being of full weight"" which was conventionally 4.25 grams (Goitein, MS I, 360; Bacharach, 80). However, the mithqāl could also denote the weight of other substances such as medical ingredients like the gourd seeds and quince referenced in the image for this entry.",unit of weight; Medieval and Early Modern,,T-S 8J15.20v line 4,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Bacharach, Jere L. ""The Diner Versus the Ducat."" International Journal of Middle East Studies 4.1 (1973): 77-96.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967"
ccg0069,mutaamal_file.jpg,muta'āmal (alt. mu'āmala),متعاملة מתעמלה,,Arabic,image/jpeg,"A term attested especially in medieval Geniza sources when Goitein notes that dirhem fractions are frequently referenced in documents with the formula ""al-darāhim al-mutaqaṭṭi'a al-muta'āmal bihā bil-diyār al-miṣriyya"" or ""the cut up dirhems which are legal tender in Egypt"" (Goitein, MS I, 385-386). For early modern geniza sources the term ""mu'āmala"" also becomes common for denoting currency that is legal tender, as in ""para mu'āmala"" or ""current"" coinage (Raymond 69). Raymond also cites an 18th-century usage in which ""mu'āmala"" is a synonym for currency: ""al-ġalā' wa fasād al-mu'āmala"" ""the high prices and deterioration of currency"" (Ibid, 69).",currency quality; Medieval and Early Modern,,ENA 3977.7r line 15,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973."
ccg0070,dirahimnasiriyye_file.jpg,Naṣirī dirham,دراهم ناصرية דראהם נאצריה,,Judaeo-Arabic,image/jpeg,"Silver coin first minted under al-Nāṣir Ṣalāh al-Dīn in 1187 CE that was 50% silver alloyed with 50% copper. Ehrenkreutz explains, ""considering that the 100 per cent silver nuqra dirhams stood at 13 1/3 to 1 [dīnār], and the 30 percent silver waraq dirhams stood at 40 to 1, it is reasonable to assume that the exchange value of the Naṣirī dirhams was 26 2/3 to 1"" (Ehrenkreutz, 503-504). Al-Nāṣir Ṣalāh al-Dīn established the Nāṣirī dirham variant in an unsuccesful effort to abolish production/circulation of black dirhams given the inconsistencies in their fineness and the resulting ""inconvenience in weighing them."" (Bates, 73).",coin; regnal variant; Ayyubid; Medieval,1187,T-S NS 321.79r line 6,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Bates, Michael L. “The Function of Fāṭimid and Ayyūbid Glass Wėights.” Journal of the Economic and Social History of the Orient 24, no. 1 (1981): 63–92.

►Ehrenkreutz, Andrew S. ""Contributions to the Knowledge of the Fiscal Administration of Egypt in the Middle Ages."" Bulletin of the School of Oriental and African Studies 16, no. 3 (1954): 502-514."
ccg0071,nisf_file.jpg,niṣf,نصف נצפ,"muayyedī, medin, mayedi(m), may'' (abbreviation), mayedes, maidis, ḥeẓī, para",,image/jpeg,"Silver coin first minted under Mamluk Sultanate in 1415 CE and referred to as muayyedi (after Sultan al-Muʾayyad Shaykh r. 1412-1421). It came to be known in Ottoman Egypt most commonly as medin or niṣf fiḍḍa in Arabic with variants across Hebrew (ḥeẓi, mayedim), Ottoman Turkish (para), and Judeo-Spanish (mayedes). The medin was first minted following a succession crisis when Sultan al-Muʾayyad Shaykh defeated a rival emir Nawrūz for the throne and returned to Cairo from Syria flush with spoiled silver that was melted down into the earliest iterations of the new coin (Bacharach, 275). A century later, Pamuk observes that ""the Ottoman administration began to mint the medin, with some modifications, immediately after the conquest [of Egypt]. Among these modifications was the changing of the name of the mint from al-Qahirah to Misr, meaning the province of Egypt. Beginning with the Ottoman law code (kanunname) of Egypt dated 1524, Ottoman sources refer to medin as pare meaning 'piece' in Turkish. The medin, nisf or pare remained the basic coin for daily transactions as well as the leading money of account in Egypt until the end of the eighteenth century. It was regularly minted in Cairo until the coinage reform of Muhammed Ali in 1834"" (Pamuk, 95-96). ",coin; Mamluk; Ottoman; Medieval and Early Modern,1415,ENA 3903.3v line 10 (upper); JRL Series C 63v line 4 (lower),Jewish Theological Seminary Library; John Rylands Library - The University of Manchester,https://luna.manchester.ac.uk/luna/servlet/detail/ManchesterDev~95~2~132154~125285?sort=reference_number%2Cdate_created&qvq=q:c%2063;sort:reference_number%2Cdate_created;lc:ManchesterDev~95~2&mi=1&trs=2,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0 (upper); Image courtesy of the John Rylands Library and modified in keeping with CC-4.0 International (lower),https://creativecommons.org/publicdomain/zero/1.0/ ; https://creativecommons.org/licenses/by-nc-sa/4.0/,"►Bacharach, Jere L. “Circassian Monetary Policy: Silver.” The Numismatic Chronicle (1966-) 11 (1971): 267–81.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000. "
ccg0072,nomisma_file.jpeg,nomisma,,"solidus, bezant",Latin,image/jpeg,"Gold coin minted under the Roman and Byzantine empires across seven centuries whose successor in 1092CE became the hyperpyron, Grierson notes: ""the problems created by the existence of two different kinds of nomisma [histamenon and tetrateron] were exacerbated in the 1030s by their debasement. Since its creation under Constantine the standard gold coin of the Empire [the solidus] had remained unchanged in fineness, though debased coins had been at times extensively struck in Italy. In the reign of Michael IV (1034-41CE) this proud seven-century tradition was broken, and in the course of the next forty years the gold content of the Constantinopolitan nomisma was reduced to a third of its original figure. Although some of Michael's coins are of virutally pure gold, others are only 20 carats fine. Under Constantine IX (1042-55) there was a futher reduction to about 18 carats, which figure the coins remained more or less stable down to 1070. The fall was then resumed. Michael VII's nomismata dropped from 16 carats to 12, and Nicephorus III's to a little over 8. Alexius I subsequently debased the nomisma out of existence, and a fresh start, with a new coin known as the hyperpyron, of the same weight as the traditional nomisma but only 20.5 carats fine and unaccompanied by any tetarteron, had to be made in 1092"" (Grierson, 197).",coin; Byzantine; Medieval; currently unattested,,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0073,nuqra_file.jpg,nuqra,نقرة נקרה,,Judaeo-Arabic,image/jpeg,"A term used in order reference to medieval dirhams that are ""pure silver"" as opposed to wariq or black dirhams (Goitein, MS I, 360).",currency quality; Medieval,,T-S NS J33r line 4,Cambridge University Library,,yes,,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0074,okka_file.jpg,okka,اوقة אוקה,,Judaeo-Arabic,image/jpeg,"Unit of weight equaling 1.28 kilograms. In monetary contexts it can be used to refer to the weight of copper coinage but it was also attested as a general unit of weight for commodities (Pamuk, 157). For example, the image attached to this entry reads ""קדר ٥٠ אוקה"" in Judaeo-Arabic in connection with a shipment of silk (""a quantity of 50 okka"").  It is crucial to note that variations of this term, especially ""ūqīya"", indicated a lower unit of weight across the medieval period that Goldberg notes ""can be read as ounces"" in direct proportion to ""raṭls as pounds, and manns as two pounds (or one kilogram)"" (Goldberg, xix).",unit of weight; Early Modern,,T-S 13J25.24 line 20,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000. "
ccg0075,othmani_file.jpg,othmānī (alt. osmānī),عثمانى עתמאני,"akçe, levanīm, asper",,image/jpeg,"Alternative term for the Ottoman akçe which was a silver coin minted in the Ottoman Empire first in the reign of Orhan Bey in 1326 CE that was no longer common in circulation by the mid-seventeenth century yet remained as a unit of account (Pamuk, 147; Ben Naeh, 29) In Hebrew-language documents levanīm or ""white ones"" was used because the term akçe referenced the Turkish root word ""ak"" meaning ""white.""",coin; Ottoman; Medieval and Early Modern,1326,T-S 13J8.10r line 13,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Ben-Naeh, Yaron. Jews in the Realm of the Sultans: Ottoman Jewish Society in the Seventeenth Century. Heidelberg: Mohr Siebeck, 2008.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0076,para_file.jpg,pāra(s),پاره פאראש פארה,"muayyedī, medin, mayedi(m), may'' (abbreviation), mayedes, maidis, muayyedi, ḥeẓī, niṣf fiḍḍa","Ottoman Turkish, Judaeo-Spanish",image/jpeg,"Silver coin first minted under Mamluk Sultanate in 1415 CE under Sultan al-Muʾayyad Shaykh (r. 1412-1421) that was later referenced via the Turkish para or pare (lit. ""piece"") or Judaeo-Spanish paras. It came to be known in Ottoman Egypt most commonly as medin or niṣf fiḍḍa in Arabic with variants also attested across Hebrew documents (ḥeẓi, mayedim). The para was first minted following a succession crisis when Sultan al-Muʾayyad Shaykh defeated a rival emir Nawrūz for the throne and returned to Cairo from Syria flush with spoiled silver that was melted down into the earliest iterations of the new coin (Bacharach, 275). A century later, Pamuk observes that ""the Ottoman administration began to mint the medin, with some modifications, immediately after the conquest [of Egypt]. Among these modifications was the changing of the name of the mint from al-Qahirah to Misr, meaning the province of Egypt. Beginning with the Ottoman law code (kanunname) of Egypt dated 1524, Ottoman sources refer to medin as pare meaning 'piece' in Turkish. The medin, nisf or pare remained the basic coin for daily transactions as well as the leading money of account in Egypt until the end of the eighteenth century. It was regularly minted in Cairo until the coinage reform of Muhammed Ali in 1834"" (Pamuk, 95-96). In 1834 the term para came to denote copper coinage within Egypt's new tri-metallic system (Tunçer and Pamuk, 2).",coin; Mamluk; Ottoman; Medieval and Early Modern; Judaeo-Spanish influence ,1415,Halper 409r line 11,CAJS - University of Pennsylvania,,,Image courtesy of University of Pennsylvania Library,https://creativecommons.org/publicdomain/mark/1.0/,"►Bacharach, Jere L. “Circassian Monetary Policy: Silver.” The Numismatic Chronicle (1966-) 11 (1971): 267–81.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000. 

►Tunçer, Ali Coşkun. Şevket Pamuk. ""Ottoman Empire: from 1830-1914."" in South-eastern European Monetary and Ecnoomic Statistics from the Nineteenth Century to World War II. ed., Matthias Morys. Athens: Bank of Greece, 2014. 1-27."
ccg0077,perahim_file.jpg,peraḥīm,פרחים,"ducato, ducado, zecchino, bunduk, şerifi bunduk, sequin, ducato d'oro, zecchino, ashrafī, florin, altın, ḥaṣāne-i sulṭānīye, şerīfī, sequin cherif, sulṭānī",Hebrew,image/jpeg,"A generic term for several types of gold coinage that were, at least, originally minted according to similar standards of weight/fineness. More specifically, the term ""flowers"" in Hebrew can reference the Florentine florin, the Venetian ducat, the Mamluk ashrafī, and the Ottoman sulṭānī. Of these coinage types, the florin was minted the earliest in 1252 CE and, given its portrayal of the flor-de-lis, the aesthetics of the currency led to the widespread usage of the term ""peraḥīm"" (Goldthwaite, 429). On occasion, scribes will specify whether the currency in use is Venetian, Ottoman, or otherwise.",coin; Medieval and Early Modern,1252,T-S NS 99.25r line 10,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goldthwaite, Richard. The Building of Renaissance Florence: An Economic and Social History. Baltimore: Johns Hopkins University Press, 1980."
ccg0078,perperum_file.jpg,perpero (pl. perperi),פרפרי,"perpero (sing.), ","Latin, Italian",image/jpeg,"Gold coin minted in the Byzantine empire that became the successor of the nomisma/solidus in the eleventh century when it was introduced by Alexius I in 1092 CE. It was known alternatively as hyperpyron (Greek), perpero (Italian), and perperum (Latin). The coin was debased across the 11th-14th centuries until it was no longer struck in gold and in the mid-1300s, these terms began to reference large silver coins that held only half the value of the defunct gold perpero (Grierson, 56). At the onset of their production in the eleventh century, Grierson notes, ""the problems created by the existence of two different kinds of nomisma [histamenon and tetrateron] were exacerbated in the 1030s by their debasement. Since its creation under Constantine the standard gold coin of the Empire [the solidus] had remained unchanged in fineness, though debased coins had been at times extensively struck in Italy. In the reign of Michael IV (1034-41CE) this proud seven-century tradition was broken, and in the course of the next fourty years the gold content of the Constantinopolitan nomisma was reduced to a third of its original figure. Although some of Michael's coins are of virutally pure gold, others are only 20 carats fine. Under Constantine IX (1042-55) there was a futher reduction to about 18 carats, which figure the coins remained more or less stable down to 1070. The fall was then resumed. Michael VII's nomismata dropped from 16 carats to 12, and Nicephorus iii's to a little over 8. Alexius I subsequently debased the nomisma out of existence, and a fresh start, with a new coin known as the hyperpyron, of the same weight as the traditional nomisma but only 20.5 carats fine and unaccompanied by any tetarteron, had to be made in 1092."" (Ibid, 197) the hyperpyron was also a common unit of account and increasingly became so across the final century of the existence of the Byzantine empire when ""the gold hyperpyron disappeared, to be replaced by a heavy silver coin worth half an hyperpyron which from the initial cross of its inscription was known as a stavraton"" (Ibid, 278-279).",coin; Byzantine; Medieval,1092,T-S Misc.10.19 2r line 9,Cambridge University Library,,no,Image courtesy of Cambridge University Library,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0079,qaitbes_file.jpg,Qāʾitbes,קאייתביש,,Judaeo-Spanish,image/jpeg,Coinage that was minted according to standards implemented during the reign of Sultan ʾAbū al-Naṣr Seyf al-Dīn al-ʾAshraf Qaʾitbay (1468-1486 CE). The term appears in a fifteenth- or sixteenth-century business letter in Judaeo-Spanish where it is unclear what type of coin is being referenced.,coin; regnal variant; Mamluk; Judaeo-Spanish influence ,1468,T-S 13J7.30v line 19,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,
